,height,name,position,weight
76,75,Stephen Curry,PG,190
77,83,Festus Ezeli,C,265
78,79,Draymond Green,SF,230
79,78,Justin Holiday,SG,185
80,78,Andre Iguodala,SG,215
81,84,Ognjen Kuzmic,C,260
82,81,David Lee,PF,245
83,79,Shaun Livingston,PG,192
84,78,Brandon Rush,SG,220
85,82,Marreese Speights,C,255
86,79,Klay Thompson,SG,215
87,79,Matt Barnes,SF,226
88,79,Reggie Bullock,SG,205
89,77,Jamal Crawford,SG,200
90,76,Jared Cunningham,SG,195
91,81,Glen Davis,PF,289
92,79,Chris Douglas-Roberts,SG,210
93,74,Jordan Farmar,PG,180
94,82,Blake Griffin,PF,251
95,85,Spencer Hawes,PF,245
96,83,DeAndre Jordan,C,265
97,72,Chris Paul,PG,175
98,76,J.J. Redick,SG,190
99,82,Hedo Turkoglu,SF,220
100,82,Ekpe Udoh,PF,245
101,77,C.J. Wilcox,SG,195
102,83,Tarik Black,PF,257
103,81,Carlos Boozer,PF,258
104,78,Kobe Bryant,SG,212
105,77,Jordan Clarkson,PG,185
106,82,Ed Davis,PF,240
107,76,Wayne Ellington,SG,200
108,82,Jordan Hill,C,235
109,79,Wesley Johnson,SF,215
110,83,Ryan Kelly,PF,230
111,75,Jeremy Lin,PG,200
112,75,Steve Nash,PG,180
113,74,Ronnie Price,PG,190
114,81,Julius Randle,PF,250
115,84,Robert Sacre,C,270
116,79,Nick Young,SF,210
117,73,Eric Bledsoe,PG,195
118,75,Goran Dragic,SG,190
119,77,Zoran Dragic,SG,200
120,74,Tyler Ennis,PG,180
121,77,Archie Goodwin,SG,198
122,80,Gerald Green,SG,210
123,85,Alex Len,C,255
124,81,Marcus Morris,PF,235
125,82,Markieff Morris,PF,245
126,83,Miles Plumlee,C,255
127,82,Shavlik Randolph,PF,236
128,69,Isaiah Thomas,PG,185
129,78,P.J. Tucker,SF,224
130,80,T.J. Warren,SF,215
131,82,Brandan Wright,PF,210
132,81,Omri Casspi,SF,225
133,72,Darren Collison,PG,175
134,83,DeMarcus Cousins,C,270
135,80,Reggie Evans,C,245
136,80,Rudy Gay,SF,230
137,84,Ryan Hollins,C,240
138,81,Carl Landry,PF,248
139,75,Ray McCallum,PG,190
140,77,Ben McLemore,SG,195
141,82,Eric Moreland,PF,218
142,75,Ramon Sessions,PG,190
143,78,Nik Stauskas,SG,205
144,83,Jason Thompson,PF,250
145,80,Derrick Williams,PF,240
146,81,Cameron Bairstow,PF,250
147,72,Aaron Brooks,PG,161
148,79,Jimmy Butler,SG,220
149,81,Mike Dunleavy,SF,230
150,84,Pau Gasol,PF,250
151,81,Taj Gibson,PF,225
152,76,Kirk Hinrich,SG,190
153,80,Doug McDermott,SF,225
154,82,Nikola Mirotic,PF,220
155,82,Nazr Mohammed,C,250
156,76,E'Twaun Moore,SG,191
157,83,Joakim Noah,C,232
158,75,Derrick Rose,PG,190
159,79,Tony Snell,SF,200
160,76,Matthew Dellavedova,SG,200
161,78,Joe Harris,SG,225
162,84,Brendan Haywood,C,263
163,75,Kyrie Irving,PG,193
164,80,LeBron James,SF,250
165,80,James Jones,SF,215
166,82,Kevin Love,PF,243
167,79,Shawn Marion,SG,228
168,80,Mike Miller,SG,218
169,85,Timofey Mozgov,C,250
170,77,Iman Shumpert,SG,220
171,78,J.R. Smith,SG,225
172,81,Tristan Thompson,C,238
173,83,Anderson Varejao,C,267
174,81,Joel Anthony,C,245
175,72,D.J. Augustin,PG,183
176,79,Caron Butler,SF,228
177,77,Kentavious Caldwell-Pope,SG,205
178,80,Luigi Datome,SF,215
179,78,Spencer Dinwiddie,PG,200
180,83,Andre Drummond,C,279
181,73,Brandon Jennings,PG,169
182,82,Jonas Jerebko,PF,231
183,79,Cartier Martin,PF,220
184,76,Jodie Meeks,SG,210
185,83,Greg Monroe,PF,250
186,80,Kyle Singler,SF,228
187,80,Anthony Tolliver,PF,240
188,81,Lavoy Allen,PF,255
189,80,Chris Copeland,SF,235
190,81,Paul George,SF,220
191,86,Roy Hibbert,C,290
192,75,George Hill,PG,188
193,79,Solomon Hill,SF,225
194,83,Ian Mahinmi,C,250
195,78,C.J. Miles,SG,231
196,82,Damjan Rudez,SF,200
197,81,Luis Scola,PF,240
198,75,Donald Sloan,PG,205
199,77,Rodney Stuckey,PG,205
200,74,C.J. Watson,PG,175
201,81,David West,PF,250
202,83,Shayne Whittington,PF,250
203,83,Giannis Antetokounmpo,SF,217
204,75,Jerryd Bayless,PG,200
205,79,Jared Dudley,SG,225
206,83,John Henson,C,230
207,82,Ersan Ilyasova,PF,235
208,80,Damien Inglis,SF,225
209,75,Brandon Knight,PG,189
210,76,Kendall Marshall,PG,200
211,81,Kenyon Martin,PF,225
212,77,O.J. Mayo,SG,210
213,79,Khris Middleton,SG,225
214,81,Johnny O'Bryant III,PF,265
215,83,Zaza Pachulia,C,270
216,80,Jabari Parker,SF,240
217,83,Larry Sanders,C,230
218,81,Al-Farouq Aminu,SF,215
219,72,J.J. Barea,PG,185
220,85,Tyson Chandler,C,240
221,75,Monta Ellis,SG,185
222,73,Raymond Felton,PG,205
223,75,Devin Harris,PG,192
224,79,Richard Jefferson,SF,234
225,79,Ricky Ledo,SG,195
226,84,Dirk Nowitzki,PF,245
227,81,Chandler Parsons,SF,227
228,83,Dwight Powell,PF,240
229,73,Rajon Rondo,PG,186
230,82,Greg Smith,PF,250
231,83,Charlie Villanueva,PF,232
232,80,Trevor Ariza,SF,215
233,73,Patrick Beverley,PG,210
234,81,Corey Brewer,SG,186
235,72,Isaiah Canaan,PG,201
236,82,Clint Capela,C,240
237,81,Joey Dorsey,PF,275
238,77,James Harden,SG,225
239,83,Dwight Howard,C,275
240,75,Nick Johnson,SG,202
241,81,Terrence Jones,PF,255
242,84,Donatas Motiejunas,PF,255
243,80,Kostas Papanikolaou,SF,235
244,78,Alexey Shved,PG,187
245,81,Josh Smith,SF,225
246,74,Jason Terry,SG,185
247,77,Jordan Adams,SG,209
248,76,Tony Allen,SF,213
249,78,Nick Calathes,SG,213
250,78,Vince Carter,SG,220
251,73,Mike Conley,PG,175
252,85,Marc Gasol,C,265
253,84,Kosta Koufos,C,265
254,77,Courtney Lee,SG,200
255,82,Jon Leuer,PF,228
256,79,Quincy Pondexter,SG,220
257,81,Tayshaun Prince,SF,215
258,81,Zach Randolph,PF,260
259,81,Jarnell Stokes,PF,263
260,75,Beno Udrih,PG,205
261,86,Alexis Ajinca,C,248
262,82,Ryan Anderson,PF,240
263,84,Omer Asik,C,255
264,81,Luke Babbitt,SF,225
265,80,Dante Cunningham,PF,230
266,82,Anthony Davis,PF,220
267,78,Tyreke Evans,SG,220
268,74,Jimmer Fredette,PG,195
269,76,Eric Gordon,SG,215
270,76,Jrue Holiday,PG,205
271,76,Austin Rivers,SG,200
272,78,John Salmons,SF,210
273,72,Russ Smith,PG,165
274,84,Jeff Withey,C,222
275,81,Kyle Anderson,SF,230
276,81,Jeff Ayres,PF,250
277,82,Aron Baynes,C,260
278,77,Marco Belinelli,SF,210
279,82,Matt Bonner,C,235
280,83,Austin Daye,SF,220
281,80,Boris Diaw,C,250
282,83,Tim Duncan,PF,250
283,78,Manu Ginobili,SG,205
284,78,Danny Green,SG,215
285,75,Cory Joseph,PG,190
286,79,Kawhi Leonard,SF,230
287,72,Patty Mills,PG,185
288,74,Tony Parker,PG,185
289,83,Tiago Splitter,C,245
290,83,Pero Antic,PF,260
291,77,Kent Bazemore,SG,201
292,81,Elton Brand,PF,254
293,80,DeMarre Carroll,SF,212
294,82,Al Horford,C,250
295,76,John Jenkins,SG,215
296,79,Kyle Korver,SG,212
297,75,Shelvin Mack,PG,207
298,80,Paul Millsap,PF,253
299,83,Mike Muscala,PF,230
300,82,Adreian Payne,PF,245
301,73,Dennis Schroder,PG,168
302,80,Mike Scott,PF,237
303,79,Thabo Sefolosha,SG,222
304,74,Jeff Teague,PG,181
305,81,Bismack Biyombo,C,245
306,78,P.J. Hairston,SG,230
307,77,Gerald Henderson,SF,215
308,82,Al Jefferson,C,289
309,79,Michael Kidd-Gilchrist,SF,232
310,79,Jason Maxiell,PF,260
311,76,Gary Neal,SG,210
312,73,Jannero Pargo,PG,185
313,73,Brian Roberts,PG,173
314,77,Lance Stephenson,SG,230
315,79,Jeff Taylor,SF,225
316,82,Noah Vonleh,PF,240
317,73,Kemba Walker,PG,184
318,81,Marvin Williams,PF,237
319,84,Cody Zeller,PF,240
320,82,Chris Andersen,PF,245
321,83,Chris Bosh,C,235
322,74,Mario Chalmers,PG,190
323,74,Norris Cole,PG,175
324,81,Luol Deng,SF,220
325,79,James Ennis,SF,208
326,81,Danny Granger,SF,222
327,84,Justin Hamilton,C,255
328,80,Udonis Haslem,PF,235
329,82,Josh McRoberts,PF,240
330,73,Shabazz Napier,PG,175
331,76,Dwyane Wade,SG,220
332,84,Hassan Whiteside,C,265
333,82,Shawne Williams,SF,230
334,84,Dewayne Dedmon,C,245
335,79,Evan Fournier,SG,205
336,83,Channing Frye,PF,255
337,81,Aaron Gordon,PF,220
338,75,Ben Gordon,SG,205
339,75,Willie Green,SG,205
340,81,Maurice Harkless,SF,215
341,81,Tobias Harris,SF,235
342,78,Devyn Marble,SG,200
343,81,Andrew Nicholson,PF,250
344,82,Kyle O'Quinn,PF,250
345,76,Victor Oladipo,SG,210
346,76,Elfrid Payton,PG,185
347,74,Luke Ridnour,PG,175
348,84,Nikola Vucevic,C,260
349,77,Bradley Beal,SG,207
350,79,DeJuan Blair,C,270
351,79,Rasual Butler,SF,215
352,82,Drew Gooden,PF,250
353,83,Marcin Gortat,C,240
354,83,Nene Hilario,PF,250
355,81,Kris Humphries,PF,235
356,74,Andre Miller,PG,200
357,79,Paul Pierce,SF,235
358,80,Otto Porter Jr.,SF,198
359,82,Kevin Seraphin,C,278
360,78,Garrett Temple,SG,195
361,76,John Wall,PG,195
362,79,Martell Webster,SF,230
363,77,Arron Afflalo,SG,215
364,81,Darrell Arthur,PF,235
365,80,Wilson Chandler,SF,225
366,80,Kenneth Faried,PF,228
367,76,Randy Foye,SG,213
368,82,Danilo Gallinari,SF,225
369,78,Alonzo Gee,SF,225
370,76,Erick Green,PG,185
371,76,Gary Harris,SG,210
372,81,J.J. Hickson,PF,242
373,71,Ty Lawson,PG,195
374,84,JaVale McGee,C,270
375,83,Jusuf Nurkic,C,280
376,69,Nate Robinson,PG,180
377,80,Anthony Bennett,PF,245
378,79,Chase Budinger,SF,209
379,76,Troy Daniels,SG,205
380,83,Gorgui Dieng,C,233
381,81,Robbie Hummel,SF,219
382,77,Zach LaVine,PG,183
383,79,Kevin Martin,SG,204
384,78,Shabazz Muhammad,SF,227
385,83,Nikola Pekovic,C,295
386,84,Miroslav Raduljica,C,250
387,79,Glenn Robinson III,SG,222
388,76,Ricky Rubio,PG,192
389,80,Andrew Wiggins,SF,199
390,73,Mo Williams,PG,198
391,80,Thaddeus Young,SF,221
392,84,Steven Adams,C,255
393,82,Nick Collison,PF,255
394,81,Kevin Durant,SF,240
395,82,Serge Ibaka,PF,245
396,75,Reggie Jackson,PG,208
397,82,Grant Jerrett,PF,232
398,83,Perry Jones,SF,235
399,77,Jeremy Lamb,SG,185
400,82,Mitch McGary,PF,255
401,77,Anthony Morrow,SG,210
402,82,Kendrick Perkins,C,270
403,79,Andre Roberson,SG,210
404,72,Ish Smith,PG,175
405,76,Dion Waiters,SG,225
406,75,Russell Westbrook,PG,200
407,83,LaMarcus Aldridge,PF,240
408,78,Will Barton,SG,175
409,80,Nicolas Batum,SF,200
410,75,Steve Blake,PG,172
411,81,Victor Claver,PF,224
412,78,Allen Crabbe,SF,210
413,82,Joel Freeland,C,225
414,84,Chris Kaman,C,265
415,85,Meyers Leonard,C,245
416,75,Damian Lillard,PG,195
417,84,Robin Lopez,C,255
418,77,Wesley Matthews,SG,220
419,76,C.J. McCollum,SG,200
420,82,Thomas Robinson,PF,237
421,81,Dorell Wright,SF,205
422,80,Trevor Booker,PF,230
423,73,Trey Burke,PG,185
424,78,Alec Burks,PG,211
425,75,Ian Clark,SG,180
426,81,Jeremy Evans,SF,200
427,78,Dante Exum,SG,190
428,82,Derrick Favors,PF,262
429,85,Rudy Gobert,C,245
430,80,Gordon Hayward,SF,225
431,80,Rodney Hood,SG,215
432,80,Joe Ingles,SF,216
433,83,Enes Kanter,C,245
434,78,Elijah Millsap,SG,215
435,82,Steve Novak,SF,225
436,77,Elliot Williams,SG,190
